,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Segment,age,age_group
20,25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,28 5th Center,4413,QLD,Australia,3,Platinum,41,40-49
21,26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0,52 Carey Alley,4740,QLD,Australia,5,Bronze,39,30-39
22,27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,96 Texas Plaza,3218,VIC,Australia,7,Gold,39,30-39
23,28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,48 Eagan Avenue,4868,QLD,Australia,4,Silver,44,40-49
24,29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,9 Buell Park,4116,QLD,Australia,7,Platinum,49,40-49
25,30,Darrick,Helleckas,Male,18,1961-10-18,Staff Accountant III,IT,Affluent Customer,N,Yes,6.0,02663 Buell Parkway,2519,NSW,Australia,11,Silver,56,50-59
26,31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,2294 Pleasure Place,2135,NSW,Australia,12,Bronze,55,50-59
27,32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,2951 Petterle Place,2756,NSW,Australia,9,Gold,22,20-29
28,33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,Manufacturing,Affluent Customer,N,Yes,11.0,63 Lukken Drive,2170,NSW,Australia,9,Platinum,60,60-69
29,35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,34 Russell Plaza,4127,QLD,Australia,6,Bronze,54,50-59
30,36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,Health,Affluent Customer,N,No,22.0,78 Del Sol Hill,2535,NSW,Australia,8,Bronze,40,40-49
31,37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,54 Sage Plaza,4726,QLD,Australia,1,Platinum,32,30-39
32,38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,90 Lawn Parkway,4805,QLD,Australia,4,Silver,62,60-69
33,39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,38726 Ilene Crossing,2212,NSW,Australia,10,Platinum,38,30-39
34,40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,3496 Brown Drive,2207,NSW,Australia,8,Gold,36,30-39
35,41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,7188 Cody Way,3350,VIC,Australia,9,Platinum,41,40-49
36,42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0,1 Claremont Park,3931,VIC,Australia,10,Bronze,40,40-49
37,43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0,60 Eagan Circle,4018,QLD,Australia,8,Gold,34,30-39
38,44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,89314 Eagle Crest Center,4670,QLD,Australia,2,Gold,36,30-39
39,45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,2028 Lakewood Place,2480,NSW,Australia,3,Bronze,42,40-49
40,46,Kaila,Allin,Female,98,1972-02-26,Registered Nurse,Financial Services,Affluent Customer,N,Yes,15.0,70875 Hudson Point,3212,VIC,Australia,6,Silver,45,40-49
41,47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0,543 Killdeer Park,2322,NSW,Australia,4,Gold,25,20-29
42,48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,Health,Mass Customer,N,Yes,8.0,22125 Ramsey Drive,3198,VIC,Australia,9,Platinum,42,40-49
43,49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,Health,Affluent Customer,N,No,1.0,3107 Calypso Terrace,2210,NSW,Australia,9,Gold,23,20-29
44,50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,957 Veith Junction,2047,NSW,Australia,10,Platinum,37,30-39
45,51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,4853 Gulseth Avenue,4503,QLD,Australia,5,Platinum,58,50-59
46,52,Curran,Bentson,Male,57,1988-06-22,Software Test Engineer II,Financial Services,Mass Customer,N,Yes,13.0,9 Michigan Terrace,2145,NSW,Australia,8,Platinum,29,20-29
47,53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,62 Steensland Road,4350,QLD,Australia,3,Gold,63,60-69
48,54,Loralyn,Wonfor,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0,6 Homewood Avenue,2142,NSW,Australia,8,Platinum,51,50-59
49,55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,15 Almo Lane,2029,NSW,Australia,10,Platinum,61,60-69
50,56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0,690 Glacier Hill Circle,2127,NSW,Australia,10,Gold,21,20-29
51,57,Abba,Masedon,Male,87,1988-06-13,Chief Design Engineer,Property,Mass Customer,N,Yes,13.0,89787 Village Green Terrace,4280,QLD,Australia,6,Platinum,29,20-29
52,58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,18 Elgar Park,2166,NSW,Australia,9,Platinum,50,50-59
53,59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,Financial Services,High Net Worth,N,No,3.0,413 Mayer Street,2046,NSW,Australia,9,Bronze,17,<20
54,60,Nadiya,Champerlen,Female,18,1970-02-04,Help Desk Operator,Manufacturing,Mass Customer,N,No,10.0,39 3rd Drive,2026,NSW,Australia,10,Bronze,47,40-49
55,61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0,44516 Katie Parkway,2765,NSW,Australia,7,Gold,58,50-59
56,62,Sorcha,Roggers,Female,38,1979-07-06,Senior Quality Engineer,IT,Mass Customer,N,Yes,22.0,41 Schurz Center,2749,NSW,Australia,8,Gold,38,30-39
57,63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,68150 Boyd Road,2745,NSW,Australia,9,Bronze,52,50-59
58,64,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0,11474 Westend Hill,3752,VIC,Australia,8,Silver,39,30-39
59,65,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,308 Jana Crossing,2153,NSW,Australia,10,Gold,41,40-49
60,66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1.0,163 Straubel Trail,2217,NSW,Australia,10,Silver,15,<20
61,67,Vernon,Eddoes,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18.0,68294 Clarendon Crossing,2230,NSW,Australia,10,Silver,57,50-59
62,68,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,Retail,Affluent Customer,N,No,9.0,486 Mariners Cove Plaza,3046,VIC,Australia,7,Bronze,43,40-49
63,69,Heidi,Milner,Female,16,1969-06-22,Web Developer II,Retail,Mass Customer,N,No,6.0,0322 Dryden Court,3183,VIC,Australia,7,Gold,48,40-49
64,70,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8.0,9 Bonner Road,2070,NSW,Australia,12,Silver,24,20-29
65,71,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,07041 Briar Crest Lane,2213,NSW,Australia,10,Bronze,32,30-39
66,72,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,29466 Hanson Pass,4208,QLD,Australia,6,Silver,45,40-49
67,73,Minette,Worters,Female,16,1960-05-27,Teacher,Manufacturing,Affluent Customer,N,Yes,5.0,0212 Forest Run Trail,2774,NSW,Australia,8,Silver,57,50-59
68,74,Pansy,Kiddie,Female,94,1969-06-19,VP Product Management,Manufacturing,Mass Customer,N,Yes,6.0,33055 Menomonie Parkway,4133,QLD,Australia,8,Bronze,48,40-49
69,75,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,4763 Merchant Avenue,2756,NSW,Australia,8,Gold,39,30-39
70,76,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,439 Ridgeway Court,4213,QLD,Australia,9,Platinum,39,30-39
71,77,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0,2 Clyde Gallagher Lane,4170,QLD,Australia,5,Bronze,28,20-29
72,78,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,97455 Loeprich Lane,2153,NSW,Australia,9,Bronze,32,30-39
73,79,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0,9527 Ridgeway Street,2073,NSW,Australia,10,Gold,49,40-49
74,80,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,7 Jackson Point,3561,VIC,Australia,1,Platinum,39,30-39
75,81,Bee,Blazewicz,Female,58,1986-09-04,Software Test Engineer III,Health,High Net Worth,N,No,13.0,74 Anniversary Junction,2330,NSW,Australia,6,Silver,31,30-39
76,82,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19.0,2083 Spaight Court,3977,VIC,Australia,8,Silver,52,50-59
77,83,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18.0,2796 Caliangt Circle,2204,NSW,Australia,12,Silver,50,50-59
78,84,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,IT,Mass Customer,N,Yes,14.0,96061 Ludington Place,2086,NSW,Australia,11,Gold,59,50-59
79,85,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,IT,Mass Customer,N,No,8.0,5037 Merchant Crossing,2226,NSW,Australia,11,Silver,59,50-59
80,86,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,289 Haas Street,2075,NSW,Australia,11,Platinum,28,20-29
81,87,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8.0,4423 Bartelt Parkway,2038,NSW,Australia,12,Platinum,43,40-49
82,88,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,5 Grim Center,2069,NSW,Australia,12,Silver,51,50-59
83,89,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,73042 Roth Crossing,2100,NSW,Australia,11,Platinum,50,50-59
84,90,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,171 Fordem Junction,2233,NSW,Australia,10,Gold,33,30-39
85,91,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,2640 Manley Point,2166,NSW,Australia,9,Platinum,62,60-69
86,92,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12.0,3 Hintze Pass,3133,VIC,Australia,10,Silver,37,30-39
87,93,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10.0,2 Mcbride Road,3070,VIC,Australia,10,Silver,41,40-49
88,94,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,67234 Transport Hill,2777,NSW,Australia,7,Gold,43,40-49
89,95,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,72 Dorton Crossing,3133,VIC,Australia,10,Silver,57,50-59
90,96,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0,6 Heffernan Center,2125,NSW,Australia,11,Bronze,49,40-49
91,97,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0,6088 Roxbury Hill,2766,NSW,Australia,8,Platinum,38,30-39
92,98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0,105 Shelley Alley,2209,NSW,Australia,10,Silver,61,60-69
93,99,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,079 Merry Park,2160,NSW,Australia,9,Platinum,19,<20
94,100,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,8722 Summit Alley,2065,NSW,Australia,12,Bronze,49,40-49
95,101,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,9554 Artisan Pass,2150,NSW,Australia,10,Silver,42,40-49
96,102,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,55850 Butterfield Road,2168,NSW,Australia,9,Gold,61,60-69
97,103,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,68 Little Fleur Crossing,2046,NSW,Australia,12,Silver,20,20-29
98,104,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,85688 New Castle Crossing,4171,QLD,Australia,10,Gold,39,30-39
99,105,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0,8611 Loomis Lane,2155,NSW,Australia,10,Silver,16,<20
100,106,Glyn,Stallebrass,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0,7909 Pierstorff Crossing,2517,NSW,Australia,9,Bronze,51,50-59
101,107,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,01 Muir Parkway,2096,NSW,Australia,12,Bronze,27,20-29
102,108,Kayle,Mingaud,Female,4,1994-03-14,Marketing Assistant,Financial Services,High Net Worth,N,No,3.0,0410 Division Junction,2750,NSW,Australia,8,Bronze,23,20-29
103,109,Cody,Blabey,Male,16,1978-12-11,Marketing Assistant,Financial Services,Affluent Customer,N,Yes,4.0,41 Service Lane,2217,NSW,Australia,11,Platinum,39,30-39
104,110,Sascha,St. Quintin,Male,23,2000-07-31,Analyst Programmer,Financial Services,Affluent Customer,N,No,1.0,5 Moose Road,3977,VIC,Australia,8,Platinum,17,<20
105,111,Cele,Evason,Female,65,1993-08-29,Analyst Programmer,Financial Services,Mass Customer,N,No,2.0,7342 Fieldstone Junction,2093,NSW,Australia,12,Bronze,24,20-29
106,112,Shena,Parren,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0,0 David Terrace,3204,VIC,Australia,11,Platinum,42,40-49
107,113,Gage,Nickless,Male,67,1956-05-06,Staff Scientist,Retail,Mass Customer,N,No,20.0,15239 Northwestern Point,4300,QLD,Australia,4,Silver,61,60-69
108,114,Sunny,Swindells,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0,60 Oneill Street,2170,NSW,Australia,9,Bronze,32,30-39
109,115,Alberik,Mereweather,Male,77,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,8194 Sachtjen Drive,3844,VIC,Australia,1,Platinum,36,30-39
110,116,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0,0349 Farmco Terrace,2168,NSW,Australia,8,Gold,18,<20
111,117,Nance,Suttling,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,185 Pennsylvania Way,4226,QLD,Australia,6,Platinum,35,30-39
112,118,Prentice,Pearmain,Male,43,1959-11-12,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,No,19.0,432 Longview Circle,3192,VIC,Australia,10,Silver,58,50-59
113,119,Willey,Chastanet,Male,9,1981-12-04,Associate Professor,Manufacturing,High Net Worth,N,Yes,9.0,5814 Bunker Hill Street,3070,VIC,Australia,7,Silver,36,30-39
114,120,Sloan,Wagg,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0,7 Carberry Crossing,2485,NSW,Australia,2,Bronze,39,30-39
115,121,Myles,Pauncefort,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0,53 Talisman Trail,2097,NSW,Australia,9,Bronze,60,60-69
116,122,Colver,Itter,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0,5 Prairie Rose Road,4817,QLD,Australia,2,Gold,38,30-39
117,123,Almeta,Kalinsky,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0,84 Florence Parkway,2516,NSW,Australia,8,Silver,29,20-29
118,124,Kath,Cunney,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0,739 Elmside Way,3074,VIC,Australia,8,Platinum,22,20-29
119,125,Darrelle,Antoniewski,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0,684 Northport Circle,2213,NSW,Australia,10,Gold,57,50-59
120,126,Norman,Cliff,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3.0,8 Hagan Hill,4508,QLD,Australia,4,Bronze,25,20-29
121,127,Merrili,Whitear,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0,0 Pearson Crossing,4405,QLD,Australia,1,Platinum,43,40-49
122,128,Isidro,Cypler,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12.0,10918 Merry Way,2452,NSW,Australia,5,Bronze,40,40-49
123,129,Weidar,Silkstone,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0,97 Coolidge Trail,2142,NSW,Australia,9,Bronze,32,30-39
124,130,Raddy,Delete,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0,58 Helena Hill,2205,NSW,Australia,7,Bronze,20,20-29
125,131,Jana,Renyard,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8.0,352 Forster Place,4132,QLD,Australia,3,Gold,53,50-59
126,132,Celesta,Willavoys,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0,12306 Lawn Street,2145,NSW,Australia,8,Gold,54,50-59
127,133,Eldridge,Fiddeman,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0,19392 7th Trail,4744,QLD,Australia,1,Bronze,40,40-49
128,134,Merna,McCulloch,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0,1605 Northfield Junction,2158,NSW,Australia,11,Gold,20,20-29
129,135,Rosalia,Sigart,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3.0,9674 Graceland Junction,3201,VIC,Australia,6,Silver,42,40-49
130,136,Mel,Bennet,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0,638 Thackeray Junction,4178,QLD,Australia,3,Platinum,44,40-49
131,137,Vaughn,Artin,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10.0,869 Forster Circle,2112,NSW,Australia,10,Bronze,30,30-39
132,138,Onofredo,Franc,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0,0 Golden Leaf Crossing,2033,NSW,Australia,9,Silver,32,30-39
133,139,Gar,Flaxon,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4.0,215 Lindbergh Trail,4401,QLD,Australia,1,Platinum,53,50-59
134,140,Morrie,Flaxon,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0,829 Washington Crossing,3186,VIC,Australia,9,Gold,23,20-29
135,141,Townsend,Trobe,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0,585 Loomis Court,2097,NSW,Australia,11,Bronze,63,60-69
136,142,Bentley,Fortesquieu,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17.0,68063 Blue Bill Park Center,3058,VIC,Australia,9,Platinum,50,50-59
137,143,Kendall,Figg,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0,15673 Farmco Point,4017,QLD,Australia,6,Silver,60,60-69
138,144,Jory,Barrabeale,Male,71,1997-07-21,Environmental Tech,IT,Mass Customer,N,No,7.0,22 Oxford Junction,2315,NSW,Australia,3,Platinum,20,20-29
139,145,Filippo,Ferrara,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4.0,7245 Cottonwood Center,2285,NSW,Australia,5,Gold,20,20-29
140,146,Ricoriki,Matlock,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0,20382 Spohn Alley,2219,NSW,Australia,11,Bronze,32,30-39
141,147,Rea,Pattrick,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0,12375 Cambridge Pass,2065,NSW,Australia,11,Gold,44,40-49
142,148,Jaquith,Maffey,Female,69,1981-05-08,Programmer Analyst III,Health,Mass Customer,N,Yes,5.0,03 Granby Parkway,3216,VIC,Australia,8,Silver,36,30-39
143,149,Drucy,Kausche,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1.0,939 Coleman Pass,4509,QLD,Australia,7,Gold,22,20-29
144,150,Bradly,Crosse,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0,69914 Bowman Place,2330,NSW,Australia,7,Bronze,34,30-39
145,151,Donnie,Brimson,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,34457 Springview Street,2759,NSW,Australia,9,Platinum,52,50-59
146,152,Stephana,Cardew,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0,992 Old Shore Trail,2069,NSW,Australia,12,Bronze,36,30-39
147,153,Lorilyn,Walshe,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0,453 Sheridan Street,2747,NSW,Australia,8,Gold,40,40-49
148,154,Faydra,Dulieu,Female,90,1958-02-13,Junior Executive,Entertainment,Mass Customer,N,No,11.0,8 Mccormick Crossing,2227,NSW,Australia,8,Bronze,59,50-59
149,155,Orran,Bogges,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0,63344 Holmberg Crossing,2025,NSW,Australia,10,Silver,32,30-39
150,156,Shayla,Rimmington,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0,9 Huxley Circle,3191,VIC,Australia,11,Silver,38,30-39
151,157,Chad,Houtby,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0,0 Hazelcrest Road,3025,VIC,Australia,8,Bronze,43,40-49
152,158,Hamlin,Odams,Male,99,1984-09-03,Internal Auditor,Financial Services,Affluent Customer,N,No,5.0,2 Continental Plaza,2263,NSW,Australia,6,Gold,33,30-39
